run_ID,paper,Re_c,Calc_Re,d_c,r_c,biofilm,growth_days,growth_cat,c_type,frontal_area,frontal_area_unit_volume,height,eta_not,eta,particle_type,p_density,d_p_cm,d_p_um,f_density,c_density,ave_velocity_cm,radius_ratio,kin_viscosity_cm2,diameter_m,velocity_m
II.4,Wu_2011,4.08,yes,2,1,yes,0,none,Glass cylinders with silicone grease,2,0.01,1,0.00074,0.00074,flourescent latex microspheres,1.05,0.0002,2,1,1,0.02,0.0001,9.79E-03,0.02,0.0002
II.5,Wu_2011,2.04,yes,1,0.5,yes,0,none,Glass cylinders with silicone grease,1,0.005,1,0.0012,0.0012,flourescent latex microspheres,1.05,0.0002,2,1,1,0.02,0.0002,9.79E-03,0.01,0.0002
II.6,Wu_2011,4.08,yes,2,1,yes,0,none,Glass cylinders with silicone grease,2,0.01,1,0.0011,0.0011,flourescent latex microspheres,1.05,0.00105,10.5,1,1,0.02,0.000525,9.79E-03,0.02,0.0002
II.7,Wu_2011,2.04,yes,1,0.5,yes,0,none,Glass cylinders with silicone grease,1,0.005,1,0.0021,0.0021,flourescent latex microspheres,1.05,0.00105,10.5,1,1,0.02,0.00105,9.79E-03,0.01,0.0002
I.1,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.000105,1.05,1,1,0.02,0.00021,9.79E-03,0.005,0.0002
I.10,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.02,0.00002,9.79E-03,0.005,0.0002
I.2,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.000105,1.05,1,1,0.02,0.00021,9.79E-03,0.005,0.0002
I.3,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.000105,1.05,1,1,0.02,0.00021,9.79E-03,0.005,0.0002
I.4,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.000105,1.05,1,1,0.02,0.00021,9.79E-03,0.005,0.0002
I.5,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.000105,1.05,1,1,0.02,0.00021,9.79E-03,0.005,0.0002
I.6,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.02,0.00002,9.79E-03,0.005,0.0002
I.7,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.02,0.00002,9.79E-03,0.005,0.0002
I.8,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.02,0.00002,9.79E-03,0.005,0.0002
I.9,Wu_2012,1.02,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.02,0.00002,9.79E-03,0.005,0.0002
II.1,Wu_2012,0.01,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.000105,1.05,1,1,0.0002,0.00021,9.79E-03,0.005,0.000002
II.10,Wu_2012,0.1,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.002,0.00002,9.79E-03,0.005,0.00002
II.11,Wu_2012,10.21,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.2,0.00002,9.79E-03,0.005,0.002
II.12,Wu_2012,51.05,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,1,0.00002,9.79E-03,0.005,0.01
II.13,Wu_2012,0.01,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.0002,0.00002,9.79E-03,0.005,0.000002
II.14,Wu_2012,0.1,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.002,0.00002,9.79E-03,0.005,0.00002
II.15,Wu_2012,10.21,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,0.2,0.00002,9.79E-03,0.005,0.002
II.16,Wu_2012,51.05,yes,0.5,0.25,,0,none,Glass cylinder with no coating,0.5,0.0025,1,,,flourescent latex microspheres,1.05,0.00001,0.1,1,1,1,0.00002,9.79E-03,0.005,0.01
